seller_id,seller_city,seller_state,orders,gmv,on_time_delivery_rate,avg_review_score,cancellation_rate,revenue_growth_rate,performance_score,risk_tier
3820c6537b3853be1a0687d5a60807ec,cotia,SP,1,35.96,,0.0,1.0,0.0,5.0,high_risk
001e6ad469a905060d959994f1b41e4f,sao goncalo,RJ,1,267.94,,1.0,1.0,0.0,11.0,high_risk
1992f8fb6b19fcccd97ca819811e7267,sao paulo,SP,1,40.02,,1.0,1.0,0.0,11.0,high_risk
1fddcb7b326905d3ad5efe82187db347,sao paulo,SP,1,105.22,,1.0,1.0,0.0,11.0,high_risk
278b6e0b20c4f61fefaa0577943d7a35,itajai,SC,1,1152.62,,1.0,1.0,0.0,11.0,high_risk
37ceb404da208418c9032f0674e57804,sao paulo,SP,1,274.11,,1.0,1.0,0.0,11.0,high_risk
4bc3d93e4a5f88a598d3d8ce4ae510b3,sao paulo,SP,1,188.28,,1.0,1.0,0.0,11.0,high_risk
50c361bcf670d16f6df4d52de3dff924,sao paulo,SP,1,51.6,,1.0,1.0,0.0,11.0,high_risk
58b98ccb79873e04eac4357cacc590d9,campinas,SP,1,31.91,,1.0,1.0,0.0,11.0,high_risk
5dc4bdaf869e8c77c648078cbe8d59c2,florianopolis,SC,1,327.49,,1.0,1.0,0.0,11.0,high_risk
61b893c57e33626afb104d4112b1be76,divisa nova,MG,1,88.09,,1.0,1.0,0.0,11.0,high_risk
66d5ae34537110d3affc56174dad2b2f,sao jose do rio preto,SP,1,72.18,,1.0,1.0,0.0,11.0,high_risk
6e2d3e2dc84fb30f6078f39dd3bddd6f,colombo,PR,1,235.28,,1.0,1.0,0.0,11.0,high_risk
6e85dc5ecd97a61094b89b046a509d8e,marapoama,SP,1,182.59,,1.0,1.0,0.0,11.0,high_risk
8501d82f68d23148b6d78bb7c4a42037,blumenau,SC,1,30.66,,1.0,1.0,0.0,11.0,high_risk
86649b1632b1c0e6c0bcb2c90a8b75d8,medianeira,PR,1,77.66,,1.0,1.0,0.0,11.0,high_risk
880eda903e719a5f179f7e9fceb3a69d,ipua,SP,1,291.72,,1.0,1.0,0.0,11.0,high_risk
90d4125885ab6c86e8820a722be71974,taboao da serra,SP,3,1342.95,,1.0,1.0,0.0,11.0,high_risk
92992bec39dde5766f590d3b1f46d465,sao paulo,SP,1,121.67,,1.0,1.0,0.0,11.0,high_risk
afac9f6b0c4e5f0a7ee87e922cd0f873,bauru,SP,1,32.84,,1.0,1.0,0.0,11.0,high_risk
bcf5566870987da7bc811fbc8c5b9fd9,sao paulo,SP,1,127.12,,1.0,1.0,0.0,11.0,high_risk
dadc51ef321949ec9a3ab25cd902e23d,sao paulo,SP,1,99.34,,1.0,1.0,0.0,11.0,high_risk
deaadd805612bf94faaa9fa702516e11,sao paulo,SP,1,65.11,,1.0,1.0,0.0,11.0,high_risk
e46bc031f2c5bae4ccb40bb90712e9b4,sao paulo,SP,1,327.39,,1.0,1.0,0.0,11.0,high_risk
e628d4a53c109f09ca88098338b3a3f5,belo horizonte,MG,1,343.9,,1.0,1.0,0.0,11.0,high_risk
f09e26011d833ddab11593c1a097a92a,pirassununga,SP,1,102.09,,1.0,1.0,0.0,11.0,high_risk
fa18c782a4866d313cadab567097f8f1,belo horizonte,MG,1,78.64,,1.0,1.0,0.0,11.0,high_risk
fc99f99385ae90f66f01733856fb88c9,boituva,SP,1,111.02,,1.0,1.0,0.0,11.0,high_risk
ffcfefa19b08742c5d315f2791395ee5,curitiba,PR,1,79.52,,1.0,1.0,0.0,11.0,high_risk
0aa124728afc1131dff5655f4c6f487b,alfenas,MG,2,1917.56,,1.0,0.5,-0.9265,16.37,high_risk
2078fe5066350e7d220c0ad3a3bbc6c1,arapongas,PR,1,68.04,,2.0,1.0,0.0,17.0,high_risk
3febca52652e7209509ccfe61cbde40e,itaquaquecetuba,SP,2,100.9,,2.0,1.0,0.0,17.0,high_risk
4d6fb82c629c7a5028bfd973c07b05e0,belo horizonte,MG,2,327.43,,2.0,1.0,0.0,17.0,high_risk
bf0d50a6410d487dc97d2baac0a8c0be,piracicaba,SP,1,37.16,,2.0,1.0,0.0,17.0,high_risk
d1a1b40ec554c593a1a99366746289dd,pato branco,PR,1,64.22,,2.0,1.0,0.0,17.0,high_risk
f543ba3c973276f519d89d59bd46cead,sao jose do rio preto,SP,2,844.08,,2.33,1.0,-0.0376,18.79,high_risk
60ad151920c4f6f3ebbe8cfdf6166779,carapicuiba,SP,2,150.67,,1.0,0.5,0.0,21.0,high_risk
9f56a7a649097b166d8ed286ad86a15c,rio de janeiro,RJ,2,51.02,,1.0,0.5,0.0,21.0,high_risk
