origin_zip,destination_zip,orders,avg_delivery_days,late_delivery_rate,avg_distance_km
42738,91170,24,12.14,0.0,2311.25
3813,5882,21,14.99,1.0,38.52
12233,3029,20,10.99,0.0,81.0
3006,74825,20,10.12,0.0,806.92
14940,28970,17,19.72,0.1176,680.77
14940,35162,16,15.85,0.0625,699.92
14940,13212,16,9.69,0.0,247.49
81130,80030,15,10.54,0.0,10.54
15025,11065,15,14.27,0.0,470.49
15601,84600,15,19.99,0.0,665.6
8577,48410,15,35.83,0.0,1664.75
89255,74885,15,14.54,0.0,1086.44
14940,22793,14,27.57,0.3571,574.63
14940,13087,14,7.97,0.0,219.96
9291,13330,14,8.38,0.0,94.51
9291,5006,13,11.28,0.0,19.46
4186,6023,13,4.8,0.0,21.31
14940,8072,12,8.31,0.0833,309.81
35680,40015,12,15.21,0.0,1022.49
3204,89266,12,11.46,0.0,408.82
14940,22631,12,13.47,0.0,581.09
2030,36025,12,8.81,0.0,386.88
21840,81280,12,11.41,0.0,661.77
89041,88015,12,9.0,0.0,93.36
15025,88598,12,21.86,0.0,784.31
2030,31330,12,10.18,0.0,486.32
2030,3735,12,2.27,0.0,10.56
14940,22775,11,18.31,0.3636,576.03
14940,13206,11,8.16,0.0,257.4
14940,21330,11,17.86,0.3636,575.93
11450,5182,11,3.16,0.0,70.89
14940,11075,11,11.77,0.0909,353.39
14940,13290,11,10.03,0.0,242.41
4362,13844,11,8.28,0.0,143.19
4361,75905,11,16.83,0.0,784.63
14940,36570,11,11.72,0.0,626.78
14940,27700,11,16.28,0.2727,536.75
6380,18407,10,12.66,0.0,214.87
14940,11740,10,13.86,0.1,340.33
14940,88790,10,20.86,0.1,747.07
14940,11065,10,14.62,0.1,353.76
9291,84043,10,14.73,0.0,403.94
14940,38600,10,10.14,0.0,544.12
14940,22411,10,15.82,0.0,594.4
8577,4011,10,9.06,0.0,30.12
12233,14640,10,8.83,0.0,358.31
4104,20540,10,14.11,0.0,354.35
15014,13820,10,6.0,0.0,323.36
35680,9990,10,14.2,0.0,454.14
14940,30130,9,15.65,0.2222,547.83
14940,30494,9,15.61,0.4444,543.83
14940,11680,9,8.24,0.0,427.37
4782,36680,9,12.95,0.0,448.23
13481,22610,9,9.85,0.0,427.2
14940,30190,9,12.15,0.0,546.84
14940,6950,9,6.78,0.0,302.32
14940,96020,9,18.2,0.0,1164.9
14940,20540,9,24.57,0.5556,588.88
14940,14620,9,7.48,0.0,151.94
14940,22790,9,17.86,0.1111,568.88
14940,15840,9,16.73,0.0,54.44
14940,22780,9,15.53,0.1111,574.07
8577,13454,9,10.45,0.0,132.37
3204,30130,9,10.88,0.0,489.41
14940,11730,9,13.48,0.0,343.01
15025,5565,9,16.19,0.0,409.64
14940,13070,9,7.77,0.0,219.59
37590,75905,9,8.95,0.0,670.09
3204,14403,9,9.88,0.0,348.82
4361,93315,9,9.47,0.0,804.41
3667,20080,8,18.12,0.0,345.41
